date,job_title,company,location,category,link
2020-11-14,"Customer Experience Lead - Lac La Biche , AB (Future Opportunities)",Scotiabank,"Lac La Biche, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/lac-la-biche/customer-experience-lead-lac-la-biche-ab-future-opportunities/453d9618-aacb-4376-b2c1-45b8d6b3101c/
2020-11-14,Customer Representative - Rathburn & Ponytrail - 22.50 hours,Scotiabank,"Mississauga, ON",Call Centre,https://www.callcentrejob.ca/offer/on/mississauga/customer-representative-rathburn-ponytrail-2250-hours/a8550a6b-12d9-4635-91b1-0ef193ae595f/
2020-11-14,"Bilingual (French) Customer Care Advisor - Scarborough, ON",Scotiabank,"Scarborough, ON",Call Centre,https://www.callcentrejob.ca/offer/on/scarborough/bilingual-french-customer-care-advisor-scarborough-on/6522de8c-2daf-4c28-8a9d-9383e2c28faf/
2020-11-14,"Customer Service Coordinator, Full-time, Barrhaven",Winners,"Ottawa, ON",Call Centre,https://www.callcentrejob.ca/offer/on/ottawa/customer-service-coordinator-full-time-barrhaven/c225c006-8051-451b-b6b0-0860d1b8dd5b/
2020-11-14,"Store Coordinator, Customer Service, Full Time, Woodbridge",Winners,"Woodbridge, ON",Call Centre,https://www.callcentrejob.ca/offer/on/woodbridge/store-coordinator-customer-service-full-time-woodbridge/b45a62d7-9ffc-45c9-955f-a4eacbc10acf/
2020-11-11,"Customer Representative - 425 Avenue Victoria, St-Lambert, QC ( 30 hours)",Scotiabank,"Saint-Lambert, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/saint-lambert/customer-representative-425-avenue-victoria-st-lambert-qc-30-hours/b73e449a-5313-438d-bdda-ea7b2c341556/
2020-11-11,"Customer Experience Lead - Hearst, ON",Scotiabank,"Hearst, ON",Call Centre,https://www.callcentrejob.ca/offer/on/hearst/customer-experience-lead-hearst-on/fc22b8c1-c6c7-46d4-bcac-646621e040a8/
2020-11-11,Service Desk Analyst,Shared Health,"Winnipeg, MB",Call Centre,https://www.callcentrejob.ca/offer/mb/winnipeg/service-desk-analyst/91fec7ce-f99c-463a-9680-e057095487d6/
2020-11-11,"Representative, Customer Service (Bilingual 1 year Contract)",Apotex,"North York, ON",Call Centre,https://www.callcentrejob.ca/offer/on/north-york/representative-customer-service-bilingual-1-year-contract/674f83d8-5023-4996-a1f3-af60e5b1aa82/
2020-11-10,Seasonal Customer Experience Representative,Indigo,"Whitehorse, YT",Call Centre,https://www.callcentrejob.ca/offer/yt/whitehorse/seasonal-customer-experience-representative/7d2b341b-60dd-4217-87f0-42078432a38a/
2020-11-10,Seasonal Customer Experience Representative,Indigo,"Surrey, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/surrey/seasonal-customer-experience-representative/fca11230-f9f6-4666-8b0d-61fd46f10c8b/
2020-11-10,Seasonal Customer Experience Representative,Indigo,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/seasonal-customer-experience-representative/365be150-5939-4f14-9cca-e7758f6775b5/
2020-11-10,Seasonal Customer Experience Representative,Indigo,"Penticton, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/penticton/seasonal-customer-experience-representative/3665545c-1cac-4cab-84a3-a9df605b7bf7/
2020-11-10,Customer Experience Manager - Indigo Southtrail,Indigo,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/customer-experience-manager-indigo-southtrail/495c1d5c-f831-409a-8eb5-d647a8c93e49/
2020-11-10,"Manager, Retention",Combined Insurance | a Chubb company,"Markham, ON",Call Centre,https://www.callcentrejob.ca/offer/on/markham/manager-retention/f373751b-097c-42e8-af19-cfe59e663f2e/
2020-11-04,"Resource Pool Customer Service Technician, Bell Aliant",Bell,"Truro, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/truro/resource-pool-customer-service-technician-bell-aliant/c21e6042-9655-46b4-967d-d6d38d93c323/
2020-11-04,"Loss Prevention Customer Service Agent, Contract - London",TJX Canada,"London, ON",Call Centre,https://www.callcentrejob.ca/offer/on/london/loss-prevention-customer-service-agent-contract-london/e0f99db0-5328-4567-8163-fc2451dc0f30/
2020-11-04,"Dispatcher, Security services 1",GardaWorld,"Edmonton, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/edmonton/dispatcher-security-services-1/5198a760-8b31-4d4b-86ba-c90be5a3b107/
2020-11-04,Member Advisor,Innovation Credit Union,"Gravelbourg, SK",Call Centre,https://www.callcentrejob.ca/offer/sk/gravelbourg/member-advisor/f05485eb-1692-45d9-be8e-1da9d157cd14/
2020-11-04,Bilingual Business Service & Support Representative,Eastlink,"Halifax, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/halifax/bilingual-business-service-support-representative/83a0f2be-2eca-4b8c-a8e9-b345b4ae5b8e/
2020-11-04,Client Support Manager,7Shifts,"Saskatoon, SK",Call Centre,https://www.callcentrejob.ca/offer/sk/saskatoon/client-support-manager/fdf46098-6f2c-4c4d-8a4f-f33de938411b/
2020-11-04,Client Support Manager,7Shifts,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/client-support-manager/f5b25d1c-4bcf-43bf-885d-46ecb43ae866/
2020-11-03,Seasonal Customer Experience Representative,Indigo,"St Albert, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/st-albert/seasonal-customer-experience-representative/766ce86c-3047-4e82-aa53-a592f67b7f2a/
2020-11-03,Seasonal Customer Experience Representative,Indigo,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/seasonal-customer-experience-representative/0407fcbb-545c-464b-8bb0-e6fb0cbc8fa6/
2020-11-03,Seasonal Customer Experience Representative,Indigo,"Etobicoke, ON",Call Centre,https://www.callcentrejob.ca/offer/on/etobicoke/seasonal-customer-experience-representative/ee4fb2a3-c72b-4854-a4ee-2bd9e782fa47/
2020-11-06,"Sales Support Representative (Contract), AlarmForce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/sales-support-representative-contract-alarmforce/4449fba7-8a39-4b4e-96be-2b637e10cc2f/
2020-11-05,Seasonal Customer Experience Representative,Indigo,"Vancouver, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/vancouver/seasonal-customer-experience-representative/a8096863-23ee-4425-96da-8cfceeedd42b/
2020-11-05,Seasonal Customer Experience Representative,Indigo,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/seasonal-customer-experience-representative/460f77a5-85be-4f26-8271-bcb215ef9c41/
2020-11-05,Customer Experience Representative,Parkland,"Dartmouth, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/dartmouth/customer-experience-representative/04cde3b5-4b52-4d75-8982-623be7d27745/
2020-11-05,Client Interaction Agent (12 month term),AFSC,"Lacombe, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/lacombe/client-interaction-agent-12-month-term/f2085ca0-3dd2-41f1-a4e5-637ba871ffe4/
2020-11-04,9-1-1 Control Centre Manager,Bell,"Quebec, QC",Call Centre,https://www.callcentrejob.ca/offer/qc/quebec/9-1-1-control-centre-manager/98af72c4-1a6e-43dd-8960-bb78ad8f0ef6/
2020-11-04,Customer Experience Leader,Indigo,"Fort St John, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/fort-st-john/customer-experience-leader/17c9ee5e-562e-4e35-a1ee-33980cbe6f6a/
2020-11-04,Seasonal Customer Experience Representative,Indigo,"Fort St John, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/fort-st-john/seasonal-customer-experience-representative/8ae06de5-e0bc-40a8-9cec-a66a602ba58c/
2020-11-04,Seasonal Customer Experience Representative - Operations,Indigo,"Edmonton, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/edmonton/seasonal-customer-experience-representative-operations/25b239f9-77b7-4664-ae66-28945b6da36d/
2020-11-04,Bilingual Customer Service Agent,PAL Airlines,"Wabush, NL",Call Centre,https://www.callcentrejob.ca/offer/nl/wabush/bilingual-customer-service-agent/f1ef6fbf-8423-481d-b794-d1518e444cdd/
2020-11-02,Customer Service Specialist - Central Region (2 Opportunities),Prospera Credit Union,"Maple Ridge, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/maple-ridge/customer-service-specialist-central-region-2-opportunities/db74df21-a789-4e47-af63-cd2cadf5a4c4/
2020-11-02,Customer Service Specialist - Western Region (2 Opportunities),Prospera Credit Union,"Coquitlam, BC",Call Centre,https://www.callcentrejob.ca/offer/bc/coquitlam/customer-service-specialist-western-region-2-opportunities/dc13e63a-1c9b-4fdb-80af-9b14d9049a8d/
2020-11-02,Technical Support Representative,Eastlink,"Dartmouth, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/dartmouth/technical-support-representative/327359ca-57f4-464d-abe6-bbab55fe84a6/
2020-11-02,Helpdesk Support Specialist,SAIT Polytechnic,"Calgary, AB",Call Centre,https://www.callcentrejob.ca/offer/ab/calgary/helpdesk-support-specialist/09c85ec6-2aa0-4e8e-9711-e0186f4aed8c/
2020-10-31,Seasonal Customer Experience Representative,Indigo,"North York, ON",Call Centre,https://www.callcentrejob.ca/offer/on/north-york/seasonal-customer-experience-representative/17d90b7f-4f1d-4928-aa9a-f2370dda1eb6/
2020-10-31,Customer Experience Manager - Cash/Admin - 3 Month Contract,Indigo,"Burlington, ON",Call Centre,https://www.callcentrejob.ca/offer/on/burlington/customer-experience-manager-cash-admin-3-month-contract/08babd82-bd94-49a1-9838-14270897903d/
2020-10-30,"Assistant Store Manager of Customer Service, , Orangeville",HomeSense,"Orangeville, ON",Call Centre,https://www.callcentrejob.ca/offer/on/orangeville/assistant-store-manager-of-customer-service-orangeville/417f2459-91b0-4379-b679-331c7324c8f1/
2020-10-30,"Bilingual Technical Support Representative, Alarmforce",Bell,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/bilingual-technical-support-representative-alarmforce/440972a4-a157-46eb-8503-4a2ea963299e/
2020-10-30,"Senior Manager, Data & Voice Preservation Technologies",Scotiabank,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/senior-manager-data-voice-preservation-technologies/388b48a5-bf2f-4186-9abc-b2f0f28c3fc2/
2020-10-30,"Senior Manager, Data & Voice Preservation Technologies",Scotiabank,"Toronto, ON",Call Centre,https://www.callcentrejob.ca/offer/on/toronto/senior-manager-data-voice-preservation-technologies/47a6572e-ac94-4451-8332-3bea21d14eb3/
2020-10-28,Seasonal Customer Experience Representative,Indigo,"Pembroke, NB",Call Centre,https://www.callcentrejob.ca/offer/nb/pembroke/seasonal-customer-experience-representative/7b696ea8-763f-425c-aa3f-ff9e1462d90c/
2020-10-28,Member Advisor,Innovation Credit Union,"Meota, SK",Call Centre,https://www.callcentrejob.ca/offer/sk/meota/member-advisor/66fbb980-d3e5-4043-8efa-437313f43057/
2020-10-28,Customer Service Agent,Bruce,"New Minas, NS",Call Centre,https://www.callcentrejob.ca/offer/ns/new-minas/customer-service-agent/c7f2b49c-8836-4584-9ef0-cd0cef4303f1/
